poi_id,terminal_code,terminal_name,venue_id,floor_id,floor_name,floor_level,name_vi,name_en,name_origin,lat,lng,type_id,type_name,categories,phone,website,open_close_at,status,img_logo
420370496161,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,,,,10.814515969431,106.66268831652,0,,,,,,available,
420364750101,T1,Ga Nội Địa T1,420321697272,420322446363,F1 - Departure,1,+84 Bakery,+84 Bakery,+84 Bakery,10.812703860191,106.66171552539,18,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23709031471735028758.png
420364758383,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,+84Cafe,+84Cafe,+84Cafe,10.813665187566,106.66248144301,18,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23708613801735028756.png
420364756666,T1,Ga Nội Địa T1,420321697272,420322446363,F1 - Departure,1,7 Colors,7 Colors,7 Colors,10.813965100388,106.66181482235,18,node-poi,3,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18582434881735028757.png
420364789696,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.813330374432,106.66178280148,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364789797,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.813664461131,106.6618162719,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790202,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.814084502394,106.66184616609,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790303,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.813445562561,106.66178867539,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790000,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.813553005567,106.66180162272,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
420364790101,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.814203288844,106.66185501743,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
