poi_id,terminal_code,terminal_name,venue_id,floor_id,floor_name,floor_level,name_vi,name_en,name_origin,lat,lng,type_id,type_name,categories,phone,website,open_close_at,status,img_logo
420370496161,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,,,,10.814515969431,106.66268831652,0,,,,,,available,
420364750101,T1,Ga Nội Địa T1,420321697272,420322446363,F1 - Departure,1,+84 Bakery,+84 Bakery,+84 Bakery,10.812703860191,106.66171552539,18,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23709031471735028758.png
420364783232,T2,Ga Quốc Tế T2,420321697575,420322445959,F2 - Departure,2,+84 Cafe,+84 Cafe,+84 Cafe,10.81612125314,106.66467189789,18,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/5814813041735028728.png
420364799797,T2,Ga Quốc Tế T2,420321697575,420322445656,F0 - Arrival,0,+84 Cafe,+84 Cafe,+84 Cafe,10.816019163993,106.66450057179,18,node-poi,8,+84 28 3844 8358,http://www.sasco.com.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/11795443461735028730.png
420364758383,T1,Ga Nội Địa T1,420321697272,420322446262,F0 - Arrival|Checkin,0,+84Cafe,+84Cafe,+84Cafe,10.813665187566,106.66248144301,18,node-poi,8,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/23708613801735028756.png
420364756666,T1,Ga Nội Địa T1,420321697272,420322446363,F1 - Departure,1,7 Colors,7 Colors,7 Colors,10.813965100388,106.66181482235,18,node-poi,3,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,https://mapper-images-singapore.s3-ap-southeast-1.amazonaws.com/seedpoi/logos/company15/18582434881735028757.png
420371991212,T3,Ga Nội Địa T3,420321772424,420322474848,F3 - Departure,3,An Ninh-Soi Chiếu,Security Screening,An Ninh-Soi Chiếu,10.812009396328,106.65351914101,42,poi-passport-control,,,,,available,
420372013232,T3,Ga Nội Địa T3,420321772424,420322474848,F3 - Departure,3,An Ninh-Soi Chiếu VIP,VIP Security Screening,An Ninh-Soi Chiếu VIP,10.812501982016,106.6549645097,42,poi-passport-control,,,,,available,
420364713838,SGN_CAMPUS,Khuôn Viên Sân Bay (Tổng quan),420321697474,420322445353,F1,1,Bãi Đậu Xe,Parking Lot,Bãi Đậu Xe,10.814901450215,106.66442245245,13,poi-self-parking,,+84 838 48 5383,tansonnhatairport.vn,24 Hours,available,
420364797070,T2,Ga Quốc Tế T2,420321697575,420322445656,F0 - Arrival,0,Băng Chuyền Nhận Hành Lý,Baggage Claim,Băng Chuyền Nhận Hành Lý,10.816222920725,106.66358800176,30,poi-baggage-claim,,+84 28 3848 5634,http://tansonnhatairport.vn/,24 Hours,available,
